date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:29	16269/16269	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:05%20GMT	http://gmpg.org/xfn/intro	/home/amulet/websites/backup/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
00:40:29	110594/110594	---M--	200	added ('OK')	image/jpeg	etag:%221b002-53dc65e4a070e%22	http://localhost/wordpress/wp-content/uploads/2016/10/da1f17b7d6b2da25533adf82489454c4.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/10/da1f17b7d6b2da25533adf82489454c4.jpg	(from http://localhost/wordpress/)
00:40:31	7342/7342	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:06%20GMT	http://gmpg.org/xfn/faq	/home/amulet/websites/backup/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
00:40:32	35280/35280	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:40:29%20GMT	http://localhost/wordpress/es/	/home/amulet/websites/backup/localhost/wordpress/es/index.html	(from http://localhost/wordpress/)
00:40:33	87143/87143	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:10%20GMT	http://zcat.site.curl.pink/	/home/amulet/websites/backup/zcat.site.curl.pink/index.html	(from http://localhost/wordpress/)
00:40:33	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:33%20GMT	http://localhost/wordpress/2016/07/30/advertencia-antes-de-instalar-gentoo/	/home/amulet/websites/backup/localhost/wordpress/2016/07/30/advertencia-antes-de-instalar-gentoo/index.html	(from http://localhost/wordpress/)
00:40:34	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Oct%202016%2005:41:11%20GMT	http://fonts.googleapis.com/robots.txt		(from http://localhost/wordpress/)
00:40:34	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:34%20GMT	http://localhost/wordpress/naipes-de-distros/	/home/amulet/websites/backup/localhost/wordpress/naipes-de-distros/index.html	(from http://localhost/wordpress/)
00:40:34	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:34%20GMT	http://localhost/wordpress/about/	/home/amulet/websites/backup/localhost/wordpress/about/index.html	(from http://localhost/wordpress/)
00:40:34	3789/3789	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:07%20GMT	http://gmpg.org/xfn/thanks	/home/amulet/websites/backup/gmpg.org/xfn/thanks.html	(from http://gmpg.org/xfn/11)
00:40:34	111/111	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Jan%202015%2017:24:53%20GMT	http://s.w.org/robots.txt		(from http://localhost/wordpress/)
00:40:34	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:34%20GMT	http://localhost/wordpress/about-me/	/home/amulet/websites/backup/localhost/wordpress/about-me/index.html	(from http://localhost/wordpress/)
00:40:35	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:35%20GMT	http://localhost/wordpress/author/admin/	/home/amulet/websites/backup/localhost/wordpress/author/admin/index.html	(from http://localhost/wordpress/)
00:40:35	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:35%20GMT	http://localhost/wordpress/category/desktop/	/home/amulet/websites/backup/localhost/wordpress/category/desktop/index.html	(from http://localhost/wordpress/)
